district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked
101912,Houston ISD,Harris,187000,https://www.houstonisd.org,granicus,https://houstonisd.granicus.com/player/,2011,,Videos at granicus.com/player. Also uses Legistar for meetings after March 2023. Archive starts April 2011,high,2026-01-14
057905,Dallas ISD,Dallas,145000,https://www.dallasisd.org,swagit,http://dallasisdtx.swagit.com/,2018,,Main archive at dallasisdtx.swagit.com. Videos back to 2018. Also available at dallasisdtx.new.swagit.com,high,2026-01-14
015915,Northside ISD,Bexar,98000,https://www.nisd.net,website_archive,https://www.nisd.net/board,,,Board meetings livestreamed at nisd.net/live. Recordings available at nisd.net/board. Uses BoardDocs for agendas,high,2026-01-15
101917,Cypress-Fairbanks ISD,Harris,94000,https://www.cfisd.net,youtube,https://www.youtube.com/channel/UCEoRQL4CCofXkIh3UgD_qIg,2023,,Board Highlights page embeds YouTube videos from channel UCEoRQL4CCofXkIh3UgD_qIg. Uses BoardBook for agendas,high,2026-01-15
079907,Fort Bend ISD,Fort Bend,94000,https://www.fortbendisd.com,swagit,https://fortbendisd.new.swagit.com/,2022,,Archive dates back to at least 2022. Active with recent 2025 meetings,high,2026-01-14
220901,Fort Worth ISD,Tarrant,71000,https://www.fwisd.org,granicus,https://fortworthisd.granicus.com/,2022,,Archive includes regular and special board meetings back to 2022,high,2026-01-14
057912,Garland ISD,Dallas,70000,https://www.garlandisd.net,swagit,https://garlandisdtx.new.swagit.com/,2020,,Board of Trustees meetings archived back to 2020,high,2026-01-14
101914,Katy ISD,Harris,67000,https://www.katyisd.org,swagit,https://katyisdtx.swagit.com/,2012,,Comprehensive video archive back to 2012. Official district page at katyisd.org/board/board/board-meeting-videos,high,2026-01-14
015910,North East ISD,Bexar,67000,https://www.neisd.net,none_found,https://meetings.boardbook.org/public/Organization/1897,,,BoardBook Premier for agendas/minutes only. No video recordings or archive found,low,2026-01-15
101902,Aldine ISD,Harris,66000,https://www.aldineisd.org,youtube,https://www.youtube.com/channel/UCcc_lr7Xzmq48dYB17CM48g,,,Board meeting videos on YouTube channel UCcc_lr7Xzmq48dYB17CM48g. Recordings organized by year,high,2026-01-15
220905,Austin ISD,Travis,72000,https://www.austinisd.org,youtube,https://www.youtube.com/austinisd,,@austinisd,Board meetings on YouTube @austinisd and AISD.TV (Channel 22 Spectrum). Also on Facebook,high,2026-01-15
227901,Arlington ISD,Tarrant,57000,https://www.aisd.net,website_archive,https://www.aisd.net/district/board/meetings/archive/,,,Board meetings archive with videos and agendas on website. Uses BoardBook for documents at meetings.boardbook.org,high,2026-01-15
057914,Carrollton-Farmers Branch ISD,Dallas,30000,https://www.cfbisd.edu,swagit,https://cfbisd.new.swagit.com/,,,Board meetings on Swagit platform,high,2026-01-14
108914,Lewisville ISD,Denton,51000,https://www.lisd.net,website_archive,https://www.lisd.net/our-district/board-of-trustees/board-meetings,,,Videos posted within 24hrs of meeting on district website. Uses BoardBook at meetings.boardbook.org/Public/Organization/1194,high,2026-01-15
101920,Klein ISD,Harris,51000,https://www.kleinisd.net,website_archive,https://www.kleinisd.net/district/board_of_trustees/board_meeting_videos,,,Board meetings live-streamed and archived on website. Uses BoardBook at meetings.boardbook.org/Public/Organization/921,high,2026-01-15
108906,Denton ISD,Denton,49000,https://www.dentonisd.org,panopto,https://tetnvideo.hosted.panopto.com/,,,Videos hosted on Panopto platform. Uses BoardBook at meetings.boardbook.org/public/Organization/949,high,2026-01-14
015907,San Antonio ISD,Bexar,46000,https://www.saisd.net,website_archive,https://www.saisd.net/page/videos-school-board-meetings,,,Board meeting videos on district website. Uses BoardBook at meetings.boardbook.org/public/Organization/1982,high,2026-01-15
057916,Plano ISD,Collin,51000,https://www.planoISD.org,swagit,https://planoisdtx.new.swagit.com/,2023,,Board meeting archive back to 2023. Regular board meetings archived on Swagit,high,2026-01-14
